imdb_key,imdb_title,genre,year
tt0118564,Affliction,"Drama, Mystery, Thriller",1997
tt0281358,"A Walk to Remember","Drama, Romance",2002
tt0147800,"10 Things I Hate About You","Comedy, Drama, Romance",1999
tt1022603,"(500) Days of Summer","Comedy, Drama, Romance",2009
tt2024544,"12 Years a Slave","Biography, Drama, History",2013
tt0118571,"Air Force One","Action, Adventure, Drama, Thriller",1997
tt1190080,2012,"Action, Adventure, Sci-Fi",2009
tt0169547,"American Beauty","Drama, Romance",1999
tt0120586,"American History X","Crime, Drama",1998
tt0104257,"A Few Good Men","Drama, Thriller",1992
tt0118617,Anastasia,"Animation, Adventure, Drama, Family, Fantasy, Musical, Mystery, Romance",1997
tt0119822,"As Good as It Gets","Comedy, Drama, Romance",1997
tt1024648,Argo,"Drama, History, Thriller",2012
tt0765429,"American Gangster","Biography, Crime, Drama",2007
tt0086879,Amadeus,"Biography, Drama, Music",1984
tt0090756,"Blue Velvet","Crime, Drama, Mystery, Thriller",1986
tt1284575,"Bad Teacher",Comedy,2011
tt0319061,"Big Fish","Adventure, Drama, Fantasy",2003
tt0947798,"Black Swan","Drama, Thriller",2010
tt0101393,Backdraft,"Action, Crime, Drama, Mystery, Thriller",1991
tt1781769,"Anna Karenina","Drama, Romance",2012
tt0083658,"Blade Runner","Sci-Fi, Thriller",1982
tt1706593,Chronicle,"Drama, Sci-Fi, Thriller",2012
tt0221027,Blow,"Biography, Crime, Drama",2001
tt0118842,"Chasing Amy","Comedy, Drama, Romance",1997
tt0109445,Clerks,Comedy,1994
tt0499549,Avatar,"Action, Adventure, Fantasy, Sci-Fi",2009
tt1120985,"Blue Valentine","Drama, Romance",2010
tt0099487,"Edward Scissorhands","Drama, Fantasy, Romance",1990
tt0096895,Batman,"Action, Adventure",1989
tt0307987,"Bad Santa","Comedy, Crime, Drama",2003
tt0887883,"Burn After Reading","Comedy, Crime, Drama",2008
tt0074285,Carrie,Horror,1976
tt0315327,"Bruce Almighty","Comedy, Drama, Fantasy",2003
tt0112697,Clueless,"Comedy, Romance",1995
tt0800320,"Clash of the Titans","Action, Adventure, Fantasy",2010
tt0097165,"Dead Poets Society",Drama,1989
tt0172495,Gladiator,"Action, Drama",2000
tt0112573,Braveheart,"Biography, Drama, History, War",1995
tt0139134,"Cruel Intentions","Drama, Romance",1999
tt0056923,Charade,"Comedy, Mystery, Romance, Thriller",1963
tt0113243,Hackers,"Comedy, Crime, Drama, Thriller",1995
tt1570728,"Crazy, Stupid, Love.","Comedy, Drama, Romance",2011
tt2294629,Frozen,"Animation, Adventure, Comedy, Family, Fantasy, Musical",2013
tt0486822,Disturbia,"Drama, Mystery, Thriller",2007
tt0151804,"Office Space",Comedy,1999
tt0091042,"Ferris Bueller's Day Off",Comedy,1986
tt1205489,"Gran Torino",Drama,2008
tt1046173,"G.I. Joe: The Rise of Cobra","Action, Adventure, Sci-Fi, Thriller",2009
tt0409847,"Cowboys & Aliens","Action, Sci-Fi, Thriller, Western",2011
tt0107048,"Groundhog Day","Comedy, Romance",1993
tt0780504,Drive,"Crime, Drama",2011
tt0119081,"Event Horizon","Horror, Sci-Fi",1997
tt0137523,"Fight Club",Drama,1999
tt0109830,"Forrest Gump","Drama, Romance",1994
tt0120735,"Lock, Stock and Two Smoking Barrels","Comedy, Crime",1998
tt0097576,"Indiana Jones and the Last Crusade","Action, Adventure",1989
tt1454468,Gravity,"Sci-Fi, Thriller",2013
tt0343818,"I, Robot","Action, Mystery, Sci-Fi, Thriller",2004
tt0166924,"Mulholland Drive","Drama, Mystery, Thriller",2001
tt0071315,Chinatown,"Drama, Mystery, Thriller",1974
tt0082198,"Conan the Barbarian","Adventure, Fantasy",1982
tt0133152,"Planet of the Apes","Action, Adventure, Sci-Fi",2001
tt0116629,"Independence Day","Action, Adventure, Sci-Fi",1996
tt1001508,"He's Just Not That Into You","Comedy, Drama, Romance",2009
tt0120684,"Gods and Monsters","Biography, Drama",1998
tt0441773,"Kung Fu Panda","Animation, Action, Adventure, Comedy, Family",2008
tt1375666,Inception,"Action, Mystery, Romance, Sci-Fi, Thriller",2010
tt0119654,"Men in Black","Comedy, Sci-Fi",1997
tt0036775,"Double Indemnity","Crime, Drama, Film-Noir, Thriller",1944
tt1605783,"Midnight in Paris","Comedy, Romance",2011
tt0100405,"Pretty Woman","Comedy, Romance",1990
tt1409024,"Men in Black 3","Action, Comedy, Sci-Fi",2012
tt1182345,Moon,"Drama, Sci-Fi",2009
tt1499658,"Horrible Bosses","Comedy, Crime",2011
tt1646971,"How to Train Your Dragon 2","Animation, Action, Adventure, Comedy, Family, Fantasy",2014
